t,x,y,z,vx,vy,vz,ax,ay,az
0.000000,0.130581,0.390610,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.008000,0.130596,0.390604,0.200000,0.003710,-0.001546,0.000000,0.347428,-0.144500,0.000000
0.016000,0.130641,0.390585,0.200000,0.007414,-0.003086,0.000000,0.462398,-0.191613,-0.000000
0.024000,0.130715,0.390554,0.200000,0.011108,-0.004612,-0.000000,0.460721,-0.189507,0.000000
0.032000,0.130818,0.390511,0.200000,0.014786,-0.006118,0.000000,0.459173,-0.186890,0.000000
0.040000,0.130951,0.390456,0.200000,0.018455,-0.007602,-0.000000,0.464338,-0.186439,-0.000000
0.048000,0.131114,0.390390,0.200000,0.022215,-0.009101,0.000000,0.468444,-0.184937,0.000000
0.056000,0.131307,0.390311,0.200000,0.025950,-0.010561,0.000000,0.465835,-0.180023,-0.000000
0.064000,0.131529,0.390221,0.200000,0.029669,-0.011982,-0.000000,0.466520,-0.175799,-0.000000
0.072000,0.131781,0.390119,0.200000,0.033414,-0.013374,0.000000,0.411970,-0.149243,0.000000
0.080000,0.132063,0.390007,0.200000,0.036260,-0.014369,0.000000,0.239159,-0.076662,-0.000000
0.088000,0.132362,0.389889,0.200000,0.037241,-0.014601,-0.000000,0.064253,-0.005361,-0.000000
0.096000,0.132659,0.389773,0.200000,0.037288,-0.014455,-0.000000,0.008189,0.017479,0.000000
0.104000,0.132958,0.389658,0.200000,0.037372,-0.014321,0.000000,0.006050,0.018629,-0.000000
0.112000,0.133257,0.389544,0.200000,0.037385,-0.014157,-0.000000,0.006131,0.018988,0.000000
0.120000,0.133556,0.389431,0.200000,0.037470,-0.014017,0.000000,0.008953,0.018275,0.000000
0.128000,0.133857,0.389320,0.200000,0.037528,-0.013865,0.000000,0.006021,0.019751,0.000000
0.136000,0.134157,0.389210,0.200000,0.037566,-0.013701,0.000000,0.007917,0.019462,-0.000000
0.144000,0.134458,0.389101,0.200000,0.037655,-0.013553,0.000000,0.006318,0.020399,-0.000000
0.152000,0.134759,0.388993,0.200000,0.037668,-0.013375,0.000000,0.005940,0.020969,0.000000
0.160000,0.135061,0.388887,0.200000,0.037750,-0.013218,0.000000,0.010891,0.019637,-0.000000
0.168000,0.135363,0.388781,0.200000,0.037842,-0.013061,-0.000000,0.005774,0.021826,-0.000000
0.176000,0.135666,0.388678,0.200000,0.037842,-0.012869,-0.000000,0.005800,0.022287,0.000000
0.184000,0.135969,0.388575,0.200000,0.037935,-0.012704,0.000000,0.010387,0.021162,0.000000
0.192000,0.136273,0.388474,0.200000,0.038009,-0.012530,0.000000,0.005595,0.023208,-0.000000
0.200000,0.136577,0.388375,0.200000,0.038024,-0.012333,-0.000000,0.006864,0.023288,-0.000000
0.208000,0.136881,0.388277,0.200000,0.038118,-0.012157,-0.000000,0.009840,0.022788,0.000000
0.216000,0.137187,0.388180,0.200000,0.038182,-0.011968,0.000000,0.005346,0.024698,0.000000
0.224000,0.137492,0.388085,0.200000,0.038204,-0.011762,0.000000,0.007395,0.024586,-0.000000
0.232000,0.137798,0.387992,0.200000,0.038300,-0.011575,-0.000000,0.010096,0.024263,-0.000000
0.240000,0.138105,0.387900,0.200000,0.038366,-0.011374,0.000000,0.005021,0.026303,0.000000
0.248000,0.138412,0.387810,0.200000,0.038380,-0.011154,0.000000,0.006957,0.026298,0.000000
0.256000,0.138719,0.387722,0.200000,0.038477,-0.010953,0.000000,0.011134,0.025642,-0.000000
0.264000,0.139028,0.387635,0.200000,0.038558,-0.010744,-0.000000,0.005405,0.027814,-0.000000
0.272000,0.139336,0.387550,0.200000,0.038563,-0.010508,-0.000000,0.005550,0.028379,0.000000
0.280000,0.139645,0.387467,0.200000,0.038647,-0.010290,0.000000,0.011339,0.027408,0.000000
0.288000,0.139954,0.387385,0.200000,0.038745,-0.010070,-0.000000,0.007577,0.029012,-0.000000
0.296000,0.140265,0.387306,0.200000,0.038768,-0.009825,0.000000,0.003970,0.030568,0.000000
0.304000,0.140575,0.387228,0.200000,0.038808,-0.009581,0.000000,0.008501,0.030070,0.000000
0.312000,0.140885,0.387152,0.200000,0.038904,-0.009344,0.000000,0.010459,0.030260,-0.000000
0.320000,0.141197,0.387079,0.200000,0.038976,-0.009096,0.000000,0.005638,0.032078,-0.000000
0.328000,0.141509,0.387007,0.200000,0.038995,-0.008831,-0.000000,0.004709,0.032977,-0.000000
0.336000,0.141821,0.386937,0.200000,0.039051,-0.008569,-0.000000,0.009368,0.032643,0.000000
0.344000,0.142134,0.386870,0.200000,0.039145,-0.008309,0.000000,0.009538,0.033349,0.000000
0.352000,0.142447,0.386804,0.200000,0.039204,-0.008035,0.000000,0.005237,0.034996,0.000000
