t,x,y,z,vx,vy,vz,ax,ay,az
0.000000000000000000e+00,4.000000000000000222e-01,-2.000000000000000111e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-03,3.999999999999999667e-01,-1.999999999999999833e-01,4.918032786885245811e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-02,4.000000000000000222e-01,-2.000000000000000111e-01,4.836065573770492038e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000050e-02,3.999999999999999667e-01,-1.999999999999999833e-01,4.754098360655737571e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-02,4.000000000000000222e-01,-2.000000000000000111e-01,4.672131147540983798e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,4.000000000000000222e-01,-2.000000000000000111e-01,4.590163934426230025e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000100e-02,4.000000000000000222e-01,-2.000000000000000111e-01,4.508196721311475558e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000117e-02,4.000000000000000222e-01,-2.000000000000000111e-01,4.426229508196721785e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000133e-02,4.000000000000000222e-01,-2.000000000000000111e-01,4.344262295081967318e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.200000000000000844e-02,4.000000000000000222e-01,-2.000000000000000111e-01,4.262295081967213545e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
