t,x,y,z,vx,vy,vz,ax,ay,az
0.000000000000000000e+00,5.590000000000000524e-01,5.500000000000000028e-02,0.000000000000000000e+00,1.414213562372923505e-03,-1.414213562373270450e-03,0.000000000000000000e+00,7.071067811864617525e-02,-7.071067811866352248e-02,0.000000000000000000e+00
2.000000000000000042e-02,5.590282842712475109e-01,5.497171572875253487e-02,0.000000000000000000e+00,1.414213562372923505e-03,-1.414213562373270450e-03,0.000000000000000000e+00,7.071067811864617525e-02,-7.071067811866352248e-02,0.000000000000000000e+00
4.000000000000000083e-02,5.591131370849898863e-01,5.488686291501015252e-02,0.000000000000000000e+00,4.242640687118770515e-03,-4.242640687119117460e-03,0.000000000000000000e+00,1.414213562372923505e-01,-1.414213562372923505e-01,0.000000000000000000e+00
5.999999999999999778e-02,5.592545584412271786e-01,5.474544155877283935e-02,0.000000000000000000e+00,7.071067811864618392e-03,-7.071067811865659226e-03,0.000000000000000000e+00,1.414213562372924060e-01,-1.414213562373271005e-01,0.000000000000000000e+00
8.000000000000000167e-02,5.594525483399593879e-01,5.454745166004060924e-02,0.000000000000000000e+00,9.899494936610462800e-03,-9.899494936611503634e-03,0.000000000000000000e+00,1.414213562372921840e-01,-1.414213562372921840e-01,0.000000000000000000e+00
1.000000000000000056e-01,5.597071067811865142e-01,5.429289321881344832e-02,0.000000000000000000e+00,1.272792206135630981e-02,-1.272792206135804453e-02,0.000000000000000000e+00,1.414213562372923227e-01,-1.414213562373270172e-01,0.000000000000000000e+00
1.199999999999999956e-01,5.600182337649086683e-01,5.398176623509137045e-02,0.000000000000000000e+00,1.555634918610771661e-02,-1.555634918610390022e-02,0.000000000000000000e+00,1.414213562375704059e-01,-1.414213562372928501e-01,0.000000000000000000e+00
1.400000000000000133e-01,5.603859292911256285e-01,5.361407070887436177e-02,0.000000000000000000e+00,1.838477631084798822e-02,-1.838477631085041683e-02,0.000000000000000000e+00,1.414213562370134625e-01,-1.414213562373257127e-01,0.000000000000000000e+00
1.600000000000000033e-01,5.608101933598375055e-01,5.318980664016243615e-02,0.000000000000000000e+00,2.121320343559386298e-02,-2.121320343559629160e-02,0.000000000000000000e+00,1.414213562372938215e-01,-1.414213562372938215e-01,0.000000000000000000e+00
1.799999999999999933e-01,5.609999999999999432e-01,5.258842712474618569e-02,0.000000000000000000e+00,9.490332008121887472e-03,-3.006897577081253659e-02,0.000000000000000000e+00,-5.861435713735990705e-01,-4.427886167608124923e-01,0.000000000000000000e+00
2.000000000000000111e-01,5.609999999999999432e-01,5.182842712474618196e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.800000000000015171e-02,0.000000000000000000e+00,-4.745166004060939469e-01,-3.965512114593803816e-01,0.000000000000000000e+00
2.200000000000000011e-01,5.609999999999999432e-01,5.098842712474618843e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.199999999999969730e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999773903e-01,0.000000000000000000e+00
2.399999999999999911e-01,5.609999999999999432e-01,5.006842712474618429e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.600000000000022821e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000266565e-01,0.000000000000000000e+00
2.600000000000000089e-01,5.609999999999999432e-01,4.906842712474618340e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999885480e-01,0.000000000000000000e+00
2.800000000000000266e-01,5.609999999999999432e-01,4.798842712474618577e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.399999999999983286e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999913236e-01,0.000000000000000000e+00
2.999999999999999889e-01,5.609999999999999432e-01,4.682842712474618446e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.800000000000017641e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000175526e-01,0.000000000000000000e+00
3.200000000000000067e-01,5.609999999999999432e-01,4.558842712474618641e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.199999999999984690e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999833578e-01,0.000000000000000000e+00
3.400000000000000244e-01,5.609999999999999432e-01,4.426842712474618469e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.600000000000003086e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000090317e-01,0.000000000000000000e+00
3.599999999999999867e-01,5.609999999999999432e-01,4.286842712474618622e-02,0.000000000000000000e+00,0.000000000000000000e+00,-7.000000000000006217e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000019540e-01,0.000000000000000000e+00
3.800000000000000044e-01,5.609999999999999432e-01,4.138842712474618407e-02,0.000000000000000000e+00,0.000000000000000000e+00,-7.400000000000003797e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999986233e-01,0.000000000000000000e+00
4.000000000000000222e-01,5.601715728752537649e-01,4.017157287525380260e-02,0.000000000000000000e+00,-4.142135623730888033e-02,-6.084271247461901788e-02,0.000000000000000000e+00,-2.071067811865442199e+00,6.578643762690503660e-01,0.000000000000000000e+00
4.199999999999999845e-01,5.590119177541078566e-01,3.901191775410786655e-02,0.000000000000000000e+00,-5.798275605729552584e-02,-5.798275605729691362e-02,0.000000000000000000e+00,-8.280699909993338714e-01,1.429978208661054906e-01,0.000000000000000000e+00
4.400000000000000022e-01,5.609999999999999432e-01,4.647575487741348321e-02,0.000000000000000000e+00,9.940411229460424658e-02,3.731918561652805000e-01,0.000000000000000000e+00,7.869343417594981460e+00,2.155873061112885125e+01,0.000000000000000000e+00
4.600000000000000200e-01,5.609999999999999432e-01,4.804551600244243159e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.848805625144734954e-02,0.000000000000000000e+00,-4.970205614730208055e+00,-1.473518999569164478e+01,0.000000000000000000e+00
4.799999999999999822e-01,5.609999999999999432e-01,4.953527712747136935e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.448805625144702680e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000165257e-01,0.000000000000000000e+00
5.000000000000000000e-01,5.609999999999999432e-01,5.094503825250032425e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.048805625144767550e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999673983e-01,0.000000000000000000e+00
5.200000000000000178e-01,5.609999999999999432e-01,5.227479937752926853e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.648805625144715847e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000256850e-01,0.000000000000000000e+00
5.400000000000000355e-01,5.609999999999999432e-01,5.352456050255820913e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.248805625144697451e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000090317e-01,0.000000000000000000e+00
5.600000000000000533e-01,5.605090404688086725e-01,5.449095953119135333e-02,0.000000000000000000e+00,-2.454797655956351271e-02,4.831995143165716822e-02,0.000000000000000000e+00,-1.227398827978174456e+00,-7.084052409894896485e-01,0.000000000000000000e+00
5.799999999999999600e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,-2.545202344043107773e-02,2.545202344043246551e-02,0.000000000000000000e+00,-4.520234404337845902e-02,-1.143396399561240395e+00,0.000000000000000000e+00
5.999999999999999778e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.272601172021552651e+00,-1.272601172021622151e+00,0.000000000000000000e+00
6.199999999999999956e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000133e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000311e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.199999999999999734e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.399999999999999911e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000000000089e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.800000000000000266e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.200000000000000622e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.399999999999999689e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.424402812572361343e-01,5.600000000000000533e-01,5.500000000000000028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.524402812572361432e-01,5.600000000000000533e-01,5.500000000000000028e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.999999999999995559e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.999999999999990905e+02
8.724402812572361610e-01,5.601979898987322626e-01,5.497171572875254181e-02,5.000000000000000278e-02,9.899494936610455861e-03,-1.414213562372922204e-03,0.000000000000000000e+00,4.949747468305223386e-01,-7.071067811864605035e-02,-2.499999999999995453e+02
8.924402812572361787e-01,5.607919595949288905e-01,5.488686291501015252e-02,5.000000000000000278e-02,2.969848480983136585e-02,-4.242640687119460935e-03,0.000000000000000000e+00,9.899494936610445661e-01,-1.414213562373268229e-01,0.000000000000000000e+00
9.124402812572360855e-01,5.617819090885900479e-01,5.474544155877284629e-02,5.000000000000000278e-02,4.949747468305810277e-02,-7.071067811865344374e-03,0.000000000000000000e+00,9.899494936613414398e-01,-1.414213562372948207e-01,0.000000000000000000e+00
9.324402812572361032e-01,5.631678383797157350e-01,5.454745166004060924e-02,5.000000000000000278e-02,6.929646455628429846e-02,-9.899494936611843640e-03,0.000000000000000000e+00,9.899494936613089102e-01,-1.414213562373248245e-01,0.000000000000000000e+00
9.524402812572361210e-01,5.669999999999999485e-01,5.399999999999999939e-02,5.000000000000000278e-02,1.916080810142105073e-01,-2.737258300203046849e-02,0.000000000000000000e+00,6.115580822896305335e+00,-8.736544032709305796e-01,0.000000000000000000e+00
9.724402812572361388e-01,5.669999999999999485e-01,5.399999999999999939e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.580404050710516373e+00,1.368629150101522196e+00,0.000000000000000000e+00
9.924402812572361565e-01,5.669999999999999485e-01,5.399999999999999939e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.012440281257236174e+00,5.669999999999999485e-01,5.399999999999999939e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.020619564307979177e+00,5.669999999999999485e-01,5.399999999999999939e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.030619564307979186e+00,5.669999999999999485e-01,5.399999999999999939e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.999999999999995559e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.999999999999990905e+02
1.050619564307979203e+00,5.669999999999999485e-01,5.396000000000000102e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999916775e-03,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999574507e-02,2.499999999999995453e+02
1.070619564307979221e+00,5.669999999999999485e-01,5.383999999999999897e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000097269e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000088374e-01,0.000000000000000000e+00
1.090619564307979239e+00,5.669999999999999485e-01,5.364000000000000018e-02,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999930819e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999914901e-01,0.000000000000000000e+00
1.110619564307979257e+00,5.669999999999999485e-01,5.335999999999999771e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.400000000000011131e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000088374e-01,0.000000000000000000e+00
1.130619564307979275e+00,5.669999999999999485e-01,5.299999999999999850e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.799999999999994313e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999914069e-01,0.000000000000000000e+00
1.150619564307979292e+00,5.669999999999999485e-01,5.256000000000000255e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.199999999999977668e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999914901e-01,0.000000000000000000e+00
1.170619564307979310e+00,5.669999999999999485e-01,5.203999999999999598e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.600000000000030412e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000261846e-01,0.000000000000000000e+00
1.190619564307979106e+00,5.669999999999999485e-01,5.143999999999999961e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000012379e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999930167e-01,0.000000000000000000e+00
1.210619564307979124e+00,5.669999999999999485e-01,5.075999999999999956e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.399999999999997469e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999923783e-01,0.000000000000000000e+00
1.230619564307979141e+00,5.669999999999999485e-01,4.999999999999999584e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.800000000000015171e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000086708e-01,0.000000000000000000e+00
1.250619564307979159e+00,5.669999999999999485e-01,4.915999999999999537e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.199999999999998873e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999916844e-01,0.000000000000000000e+00
1.270619564307979177e+00,5.677600000000000424e-01,4.900000000000000189e-02,0.000000000000000000e+00,3.800000000000466199e-02,-7.999999999999667100e-03,0.000000000000000000e+00,1.900000000000231504e+00,1.700000000000014611e+00,0.000000000000000000e+00
1.290619564307979195e+00,5.685374011537017713e-01,4.846259884629822157e-02,0.000000000000000000e+00,3.887005768508641074e-02,-2.687005768508899176e-02,0.000000000000000000e+00,4.350288425408739557e-02,-9.435028842544653793e-01,0.000000000000000000e+00
1.310619564307979212e+00,5.693010764773832610e-01,4.830107647738324933e-02,0.000000000000000000e+00,3.818376618407445106e-02,-8.076118445748604879e-03,0.000000000000000000e+00,-3.431457505059795632e-02,9.396969619670184626e-01,0.000000000000000000e+00
