t,x,y,z,vx,vy,vz,ax,ay,az
0.000000000000000000e+00,6.430000000000000160e-01,1.890000000000000013e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000612399e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000306200e-01,0.000000000000000000e+00
2.000000000000000042e-02,6.430000000000000160e-01,1.889599999999999891e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000612399e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000306200e-01,0.000000000000000000e+00
4.000000000000000083e-02,6.430000000000000160e-01,1.888400000000000079e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.999999999999061639e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999224620e-01,0.000000000000000000e+00
5.999999999999999778e-02,6.430000000000000160e-01,1.886400000000000021e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000028817e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000613509e-01,0.000000000000000000e+00
8.000000000000000167e-02,6.430000000000000160e-01,1.883599999999999997e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.400000000000011999e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999915457e-01,0.000000000000000000e+00
1.000000000000000056e-01,6.430000000000000160e-01,1.880000000000000004e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.799999999999995701e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999918232e-01,0.000000000000000000e+00
1.199999999999999956e-01,6.433111269837220592e-01,1.876888730162779295e-01,0.000000000000000000e+00,1.555634918610216549e-02,-1.555634918610355327e-02,0.000000000000000000e+00,7.778174593051087049e-01,1.221825406948202491e-01,0.000000000000000000e+00
1.400000000000000133e-01,6.436788225099391303e-01,1.873211774900609139e-01,0.000000000000000000e+00,1.838477631085353933e-02,-1.838477631085076378e-02,0.000000000000000000e+00,1.414213562375685740e-01,-1.414213562373604072e-01,0.000000000000000000e+00
1.600000000000000033e-01,6.440000000000000169e-01,1.868542135623730838e-01,0.000000000000000000e+00,1.605887450304433611e-02,-2.334819638439151676e-02,0.000000000000000000e+00,-1.162950903904602235e-01,-2.481710036770377603e-01,0.000000000000000000e+00
1.799999999999999933e-01,6.440000000000000169e-01,1.861742135623730976e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.399999999999932243e-02,0.000000000000000000e+00,-8.029437251522172359e-01,-5.325901807803905541e-01,0.000000000000000000e+00
2.000000000000000111e-01,6.440000000000000169e-01,1.854142135623730869e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.800000000000049866e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000586309e-01,0.000000000000000000e+00
2.200000000000000011e-01,6.440000000000000169e-01,1.845742135623731073e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.199999999999900341e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999253486e-01,0.000000000000000000e+00
2.399999999999999911e-01,6.440000000000000169e-01,1.836542135623731031e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.600000000000022821e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000613509e-01,0.000000000000000000e+00
2.600000000000000089e-01,6.440000000000000169e-01,1.826542135623731022e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999885480e-01,0.000000000000000000e+00
2.800000000000000266e-01,6.440000000000000169e-01,1.815742135623731046e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.399999999999983286e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.999999999999913236e-01,0.000000000000000000e+00
