t,x,y,z,v,accel
0.000000000000000000e+00,6.700000000000000400e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-03,6.700000000000000400e-02,6.197760000000000075e-02,1.000000000000000021e-02,2.799999999999851219e-03,3.499999999999813816e-01
1.600000000000000033e-02,6.700000000000000400e-02,6.191039999999999738e-02,1.000000000000000021e-02,8.400000000000421019e-03,7.000000000000712319e-01
2.400000000000000050e-02,6.700000000000000400e-02,6.179839999999999639e-02,1.000000000000000021e-02,1.400000000000012346e-02,6.999999999999627631e-01
3.200000000000000067e-02,6.700000000000000400e-02,6.164159999999999778e-02,1.000000000000000021e-02,1.959999999999982589e-02,6.999999999999627631e-01
4.000000000000000083e-02,6.700000000000000400e-02,6.144000000000000156e-02,1.000000000000000021e-02,2.519999999999952833e-02,6.999999999999627631e-01
4.800000000000000100e-02,6.700000000000000400e-02,6.119360000000000077e-02,1.000000000000000021e-02,3.080000000000009813e-02,7.000000000000712319e-01
5.600000000000000117e-02,6.709760000000000724e-02,6.099999999999999867e-02,1.000000000000000021e-02,2.710129148214199951e-02,1.733854088440004881e+00
6.400000000000000133e-02,6.743359999999999632e-02,6.099999999999999867e-02,1.000000000000000021e-02,4.199999999999863565e-02,4.798567494575704195e+00
7.200000000000000844e-02,6.781439999999999690e-02,6.099999999999999867e-02,1.000000000000000021e-02,4.760000000000007281e-02,7.000000000001795897e-01
8.000000000000000167e-02,6.816970562748476958e-02,6.083029437251522703e-02,1.000000000000000021e-02,4.921923038215540724e-02,2.681404926593097926e+00
8.799999999999999489e-02,6.850232865735492171e-02,6.049767134264507490e-02,1.000000000000000021e-02,5.880000000000003280e-02,2.570138208117395351e+00
9.600000000000000200e-02,6.886663007102224177e-02,6.013336992897776873e-02,1.000000000000000021e-02,6.440000000000067892e-02,7.000000000000806688e-01
1.040000000000000091e-01,6.900000000000000577e-02,5.962861356237309646e-02,1.000000000000000021e-02,6.525988042811556311e-02,4.223288774479739160e+00
