t,x,y,z,v,accel
0.000000000000000000e+00,6.700000000000000400e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,6.700000000000000400e-02,6.185999999999999832e-02,1.000000000000000021e-02,7.000000000000061728e-03,3.500000000000030864e-01
4.000000000000000083e-02,6.700000000000000400e-02,6.144000000000000156e-02,1.000000000000000021e-02,2.099999999999983824e-02,6.999999999999888534e-01
5.999999999999999778e-02,6.726000000000000034e-02,6.099999999999999867e-02,1.000000000000000021e-02,2.555386467836130715e-02,6.519202405202568773e-01
8.000000000000000167e-02,6.816970562748476958e-02,6.083029437251522703e-02,1.000000000000000021e-02,4.626997754152949865e-02,1.759219376241180299e+00
1.000000000000000056e-01,6.900000000000000577e-02,5.991421356237309342e-02,1.000000000000000021e-02,6.181813641119282554e-02,1.876469525303180008e+00
1.199999999999999956e-01,6.900000000000000577e-02,5.837421356237309372e-02,1.000000000000000021e-02,7.699999999999998512e-02,2.596468636079788617e+00
1.400000000000000133e-01,6.900000000000000577e-02,5.655421356237309849e-02,1.000000000000000021e-02,9.099999999999976164e-02,6.999999999999888534e-01
1.600000000000000033e-01,6.900000000000000577e-02,5.445421356237309385e-02,1.000000000000000021e-02,1.050000000000002320e-01,7.000000000000234923e-01
1.799999999999999933e-01,6.900000000000000577e-02,5.207421356237310062e-02,1.000000000000000021e-02,1.189999999999996616e-01,6.999999999999714229e-01
2.000000000000000111e-01,6.900000000000000577e-02,4.941421356237309104e-02,1.000000000000000021e-02,1.330000000000004790e-01,7.000000000000408118e-01
2.200000000000000011e-01,6.900000000000000577e-02,4.647421356237309981e-02,1.000000000000000021e-02,1.469999999999995477e-01,6.999999999999534372e-01
2.399999999999999911e-01,6.705843579026397883e-02,4.405843579026396534e-02,1.000000000000000021e-02,1.549649462357895191e-01,5.027723468891472258e+00
2.600000000000000089e-01,6.800314575050761534e-02,4.100000000000000172e-02,1.000000000000000021e-02,1.600508231168391304e-01,7.392389630808872347e+00
2.800000000000000266e-01,7.136893218813453177e-02,4.200000000000000261e-02,1.000000000000000021e-02,1.755599494739139843e-01,1.181432191585548708e+01
2.999999999999999889e-01,7.501471862576142291e-02,4.100000000000000172e-02,1.000000000000000021e-02,1.890222126416904735e-01,5.048762224545731314e+00
3.200000000000000067e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,1.059724347883217233e+00,5.887732841502574388e+01
3.400000000000000244e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,5.298621739416085319e+01
3.599999999999999867e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000044e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.199999999999999845e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000022e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000200e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.799999999999999822e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000355e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000533e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.799999999999999600e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.131836819803593297e-01,6.800000000000000488e-02,6.099999999999999867e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.331836819803593475e-01,6.800000000000000488e-02,6.099999999999999867e-02,5.000000000000000278e-02,2.000000000000000000e+00,1.000000000000000000e+02
