t,x,y,z,v,accel
0.000000000000000000e+00,6.700000000000000400e-02,6.199999999999999956e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.907678882430762550e-03,6.700863747509377966e-02,6.199136252490623084e-02,1.000000000000000021e-02,2.067687608850939194e-03,3.500000000000291767e-01
1.181535776486152510e-02,6.703454990037509276e-02,6.196545009962491080e-02,1.000000000000000021e-02,6.203062826552818015e-03,7.000000000000583533e-01
1.772303664729228678e-02,6.707773727584394330e-02,6.192226272415605332e-02,1.000000000000000021e-02,1.033843804425303541e-02,6.999999999997773559e-01
2.363071552972305020e-02,6.713819960150034516e-02,6.186180039849965839e-02,1.000000000000000021e-02,1.447381326195491119e-02,7.000000000000576872e-01
2.953839441215381362e-02,6.721593687734428446e-02,6.178406312265571215e-02,1.000000000000000021e-02,1.860918847965678871e-02,7.000000000000582423e-01
3.544607329458457357e-02,6.731094910337577508e-02,6.168905089662422847e-02,1.000000000000000021e-02,2.274456369735868011e-02,7.000000000000605738e-01
4.135375217701534045e-02,6.742323627959480314e-02,6.157676372040520041e-02,1.000000000000000021e-02,2.687993891505969721e-02,6.999999999999121369e-01
4.726143105944610040e-02,6.755279840600138253e-02,6.144720159399862797e-02,1.000000000000000021e-02,3.101531413276244209e-02,7.000000000002052358e-01
5.316910994187686035e-02,6.769963548259549935e-02,6.130036451740451114e-02,1.000000000000000021e-02,3.515068935046349041e-02,6.999999999999179101e-01
5.907678882430762723e-02,6.786374750937715361e-02,6.113625249062284994e-02,1.000000000000000021e-02,3.928606456816449016e-02,6.999999999999100275e-01
6.498446770673839412e-02,6.803404695060974450e-02,6.094600880748052285e-02,1.000000000000000021e-02,4.322040120807188468e-02,7.694462867812574824e-01
7.089214658916914713e-02,6.818390647864419618e-02,6.070836360037431406e-02,1.000000000000000021e-02,4.755681500356732233e-02,1.479074171722341235e+00
7.679982547159991402e-02,6.834679726998599270e-02,6.045005359265017558e-02,1.000000000000000021e-02,5.169219022126860658e-02,6.999999999999566569e-01
8.270750435403068090e-02,6.852271932463514792e-02,6.017107878430810047e-02,1.000000000000000021e-02,5.582756543897224311e-02,7.000000000003552270e-01
8.861518323646143391e-02,6.871167264259163410e-02,5.987143917534810261e-02,1.000000000000000021e-02,5.996294065667152201e-02,6.999999999996203703e-01
9.452286211889220080e-02,6.891365722385546511e-02,5.955113476577016812e-02,1.000000000000000021e-02,6.409831587437377076e-02,7.000000000001190825e-01
1.004305410013229677e-01,6.900000000000000577e-02,5.917298266133243917e-02,1.000000000000000021e-02,6.565761711675228984e-02,3.704898890709750425e+00
1.063382198837537207e-01,6.900000000000000577e-02,5.874544945655293948e-02,1.000000000000000021e-02,7.236906630977686661e-02,2.849985899815613344e+00
1.122458987661844876e-01,6.900000000000000577e-02,5.829348578292889438e-02,1.000000000000000021e-02,7.650444152747866433e-02,7.000000000000441425e-01
