t,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
0.000000,-0.173538,0.089905,0.000000,0.000000,3.141593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020022,-0.174282,0.090294,0.000000,0.000000,3.141593,0.000000,-0.037543,0.019348,0.000000,-0.037882,-0.006868,0.000000
0.040043,-0.175041,0.090680,0.000000,0.000000,3.141593,0.000000,-0.038296,0.019201,0.000000,-0.037370,-0.007900,0.000000
0.060065,-0.175816,0.091063,0.000000,0.000000,3.141593,0.000000,-0.039039,0.019032,0.000000,-0.036859,-0.008931,0.000000
0.080086,-0.176605,0.091442,0.000000,0.000000,3.141593,0.000000,-0.039772,0.018843,0.000000,-0.036347,-0.009963,0.000000
0.100108,-0.177408,0.091817,0.000000,0.000000,3.141593,0.000000,-0.040495,0.018633,0.000000,-0.035835,-0.010994,0.000000
0.120129,-0.178226,0.092188,0.000000,0.000000,3.141593,0.000000,-0.041207,0.018403,0.000000,-0.035324,-0.012026,0.000000
0.140151,-0.179058,0.092554,0.000000,0.000000,3.141593,0.000000,-0.041909,0.018152,0.000000,-0.034812,-0.013058,0.000000
0.160172,-0.179904,0.092915,0.000000,0.000000,3.141593,0.000000,-0.042601,0.017880,0.000000,-0.034300,-0.014089,0.000000
0.180194,-0.180764,0.093270,0.000000,0.000000,3.141593,0.000000,-0.043282,0.017587,0.000000,-0.033789,-0.015121,0.000000
0.200215,-0.181637,0.093619,0.000000,0.000000,3.141593,0.000000,-0.043954,0.017274,0.000000,-0.033277,-0.016152,0.000000
0.220237,-0.182524,0.093961,0.000000,0.000000,3.141593,0.000000,-0.044615,0.016941,0.000000,-0.032765,-0.017184,0.000000
0.240258,-0.183424,0.094297,0.000000,0.000000,3.141593,0.000000,-0.045266,0.016586,0.000000,-0.032254,-0.018216,0.000000
0.260280,-0.184336,0.094625,0.000000,0.000000,3.141593,0.000000,-0.045907,0.016211,0.000000,-0.031742,-0.019247,0.000000
0.280301,-0.185262,0.094946,0.000000,0.000000,3.141593,0.000000,-0.046537,0.015816,0.000000,-0.031230,-0.020279,0.000000
0.300323,-0.186200,0.095258,0.000000,0.000000,3.141593,0.000000,-0.047157,0.015399,0.000000,-0.030719,-0.021310,0.000000
0.320344,-0.187150,0.095562,0.000000,0.000000,3.141593,0.000000,-0.047767,0.014962,0.000000,-0.030207,-0.022342,0.000000
0.340366,-0.188112,0.095857,0.000000,0.000000,3.141593,0.000000,-0.048367,0.014505,0.000000,-0.029695,-0.023374,0.000000
0.360387,-0.189087,0.096143,0.000000,0.000000,3.141593,0.000000,-0.048956,0.014026,0.000000,-0.029184,-0.024405,0.000000
0.380409,-0.190073,0.096419,0.000000,0.000000,3.141593,0.000000,-0.049535,0.013527,0.000000,-0.028672,-0.025437,0.000000
0.400430,-0.191070,0.096685,0.000000,0.000000,3.141593,0.000000,-0.050104,0.013008,0.000000,-0.028160,-0.026468,0.000000
0.420452,-0.192079,0.096940,0.000000,0.000000,3.141593,0.000000,-0.050663,0.012467,0.000000,-0.027648,-0.027500,0.000000
0.440473,-0.193099,0.097184,0.000000,0.000000,3.141593,0.000000,-0.051211,0.011907,0.000000,-0.027137,-0.028532,0.000000
0.460495,-0.194130,0.097416,0.000000,0.000000,3.141593,0.000000,-0.051749,0.011325,0.000000,-0.026625,-0.029563,0.000000
0.480516,-0.195171,0.097637,0.000000,0.000000,3.141593,0.000000,-0.052277,0.010723,0.000000,-0.026113,-0.030595,0.000000
0.500538,-0.196223,0.097846,0.000000,0.000000,3.141593,0.000000,-0.052795,0.010100,0.000000,-0.025602,-0.031626,0.000000
0.520559,-0.197285,0.098041,0.000000,0.000000,3.141593,0.000000,-0.053303,0.009456,0.000000,-0.025090,-0.032658,0.000000
0.540581,-0.198357,0.098224,0.000000,0.000000,3.141593,0.000000,-0.053800,0.008792,0.000000,-0.024578,-0.033690,0.000000
0.560602,-0.199439,0.098393,0.000000,0.000000,3.141593,0.000000,-0.054287,0.008107,0.000000,-0.024067,-0.034721,0.000000
0.580624,-0.200531,0.098549,0.000000,0.000000,3.141593,0.000000,-0.054764,0.007402,0.000000,-0.023555,-0.035753,0.000000
0.600645,-0.201632,0.098689,0.000000,0.000000,3.141593,0.000000,-0.055230,0.006676,0.000000,-0.023043,-0.036784,0.000000
0.620667,-0.202742,0.098816,0.000000,0.000000,3.141593,0.000000,-0.055686,0.005929,0.000000,-0.022532,-0.037816,0.000000
0.640689,-0.203862,0.098927,0.000000,0.000000,3.141593,0.000000,-0.056132,0.005161,0.000000,-0.022020,-0.038848,0.000000
0.660710,-0.204990,0.099022,0.000000,0.000000,3.141593,0.000000,-0.056568,0.004373,0.000000,-0.021508,-0.039879,0.000000
0.680732,-0.206127,0.099102,0.000000,0.000000,3.141593,0.000000,-0.056994,0.003564,0.000000,-0.020997,-0.040911,0.000000
0.700753,-0.207272,0.099165,0.000000,0.000000,3.141593,0.000000,-0.057409,0.002735,0.000000,-0.020485,-0.041942,0.000000
0.720775,-0.208426,0.099211,0.000000,0.000000,3.141593,0.000000,-0.057814,0.001885,0.000000,-0.019973,-0.042974,0.000000
0.740796,-0.209587,0.099240,0.000000,0.000000,3.141593,0.000000,-0.058209,0.001014,0.000000,-0.019462,-0.044005,0.000000
0.760818,-0.210756,0.099252,0.000000,0.000000,3.141593,0.000000,-0.058593,0.000123,0.000000,-0.018950,-0.045037,0.000000
0.780839,-0.211933,0.099245,0.000000,0.000000,3.141593,0.000000,-0.058967,-0.000789,0.000000,-0.018438,-0.046069,0.000000
0.800861,-0.213118,0.099220,0.000000,0.000000,3.141593,0.000000,-0.059331,-0.001722,0.000000,-0.017927,-0.047100,0.000000
0.820882,-0.214309,0.099176,0.000000,0.000000,3.141593,0.000000,-0.059685,-0.002675,0.000000,-0.017415,-0.048132,0.000000
0.840904,-0.215507,0.099113,0.000000,0.000000,3.141593,0.000000,-0.060029,-0.003649,0.000000,-0.016903,-0.049163,0.000000
0.860925,-0.216713,0.099030,0.000000,0.000000,3.141593,0.000000,-0.060362,-0.004644,0.000000,-0.016392,-0.050195,0.000000
0.880947,-0.217924,0.098927,0.000000,0.000000,3.141593,0.000000,-0.060685,-0.005659,0.000000,-0.015880,-0.051227,0.000000
0.900968,-0.219143,0.098803,0.000000,0.000000,3.141593,0.000000,-0.060988,-0.006686,0.000000,-0.013145,-0.050182,0.000000
0.920990,-0.220366,0.098659,0.000000,0.000000,3.141593,0.000000,-0.061197,-0.007655,0.000000,-0.007757,-0.046662,0.000000
0.941011,-0.221592,0.098497,0.000000,0.000000,3.141593,0.000000,-0.061298,-0.008554,0.000000,-0.002369,-0.043141,0.000000
0.961033,-0.222820,0.098317,0.000000,0.000000,3.141593,0.000000,-0.061292,-0.009383,0.000000,0.003018,-0.039621,0.000000
0.981054,-0.224046,0.098122,0.000000,0.000000,3.141593,0.000000,-0.061178,-0.010141,0.000000,0.008406,-0.036100,0.000000
