t,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
0.000000,0.185035,-0.059245,0.000000,0.000000,3.141593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.008000,0.184520,-0.059082,0.000000,0.000000,3.141593,0.000000,-0.066033,0.019676,0.000000,-0.416537,-0.179616,0.000000
0.016000,0.183979,-0.058930,0.000000,0.000000,3.141593,0.000000,-0.069271,0.018272,0.000000,-0.392988,-0.171247,0.000000
0.024000,0.183413,-0.058790,0.000000,0.000000,3.141593,0.000000,-0.072321,0.016936,0.000000,-0.369440,-0.162878,0.000000
0.032000,0.182822,-0.058659,0.000000,0.000000,3.141593,0.000000,-0.075182,0.015666,0.000000,-0.345892,-0.154509,0.000000
0.040000,0.182210,-0.058539,0.000000,0.000000,3.141593,0.000000,-0.077855,0.014464,0.000000,-0.322344,-0.146140,0.000000
0.048000,0.181577,-0.058428,0.000000,0.000000,3.141593,0.000000,-0.080340,0.013328,0.000000,-0.298796,-0.137770,0.000000
0.056000,0.180925,-0.058325,0.000000,0.000000,3.141593,0.000000,-0.082636,0.012259,0.000000,-0.275247,-0.129401,0.000000
0.064000,0.180256,-0.058231,0.000000,0.000000,3.141593,0.000000,-0.084744,0.011258,0.000000,-0.251699,-0.121032,0.000000
0.072000,0.179570,-0.058145,0.000000,0.000000,3.141593,0.000000,-0.086663,0.010323,0.000000,-0.228151,-0.112663,0.000000
0.080000,0.178869,-0.058066,0.000000,0.000000,3.141593,0.000000,-0.088394,0.009455,0.000000,-0.204603,-0.104294,0.000000
0.088000,0.178156,-0.057993,0.000000,0.000000,3.141593,0.000000,-0.089937,0.008654,0.000000,-0.181055,-0.095925,0.000000
0.096000,0.177431,-0.057927,0.000000,0.000000,3.141593,0.000000,-0.091291,0.007920,0.000000,-0.157506,-0.087556,0.000000
0.104000,0.176696,-0.057867,0.000000,0.000000,3.141593,0.000000,-0.092457,0.007253,0.000000,-0.133958,-0.079187,0.000000
0.112000,0.175952,-0.057811,0.000000,0.000000,3.141593,0.000000,-0.093434,0.006653,0.000000,-0.110410,-0.070818,0.000000
0.120000,0.175201,-0.057760,0.000000,0.000000,3.141593,0.000000,-0.094223,0.006120,0.000000,-0.086862,-0.062449,0.000000
0.128000,0.174445,-0.057713,0.000000,0.000000,3.141593,0.000000,-0.094824,0.005654,0.000000,-0.063314,-0.054079,0.000000
0.136000,0.173685,-0.057669,0.000000,0.000000,3.141593,0.000000,-0.095236,0.005255,0.000000,-0.039765,-0.045710,0.000000
0.144000,0.172922,-0.057629,0.000000,0.000000,3.141593,0.000000,-0.095460,0.004923,0.000000,-0.016217,-0.037341,0.000000
