t,x,y,z,vx,vy,vz,ax,ay,az
0.000000,-0.246247,0.119695,0.000000,-0.045691,0.023769,0.000000,-0.007094,-0.008753,0.000000
0.008004,-0.246613,0.119885,0.000000,-0.045748,0.023699,0.000000,-0.010643,-0.013196,0.000000
0.016008,-0.246979,0.120074,0.000000,-0.045861,0.023558,0.000000,-0.014200,-0.017770,0.000000
0.024012,-0.247346,0.120262,0.000000,-0.045975,0.023414,0.000000,-0.014213,-0.018034,0.000000
0.032017,-0.247715,0.120449,0.000000,-0.046089,0.023269,0.000000,-0.014225,-0.018298,0.000000
0.040021,-0.248084,0.120634,0.000000,-0.046203,0.023122,0.000000,-0.014238,-0.018561,0.000000
0.048025,-0.248454,0.120819,0.000000,-0.046317,0.022972,0.000000,-0.014251,-0.018825,0.000000
0.056029,-0.248825,0.121002,0.000000,-0.046431,0.022820,0.000000,-0.014264,-0.019089,0.000000
0.064033,-0.249197,0.121184,0.000000,-0.046545,0.022667,0.000000,-0.014276,-0.019352,0.000000
0.072037,-0.249570,0.121365,0.000000,-0.046659,0.022511,0.000000,-0.014289,-0.019616,0.000000
0.080041,-0.249943,0.121544,0.000000,-0.046773,0.022353,0.000000,-0.014302,-0.019880,0.000000
0.088045,-0.250318,0.121722,0.000000,-0.046888,0.022193,0.000000,-0.014314,-0.020143,0.000000
0.096050,-0.250694,0.121899,0.000000,-0.047002,0.022030,0.000000,-0.014327,-0.020407,0.000000
0.104054,-0.251070,0.122075,0.000000,-0.047117,0.021866,0.000000,-0.014340,-0.020671,0.000000
0.112058,-0.251447,0.122249,0.000000,-0.047232,0.021700,0.000000,-0.014353,-0.020934,0.000000
0.120062,-0.251826,0.122422,0.000000,-0.047347,0.021531,0.000000,-0.014365,-0.021198,0.000000
0.128066,-0.252205,0.122594,0.000000,-0.047462,0.021361,0.000000,-0.014378,-0.021462,0.000000
0.136070,-0.252585,0.122764,0.000000,-0.047577,0.021188,0.000000,-0.014391,-0.021725,0.000000
0.144074,-0.252966,0.122933,0.000000,-0.047692,0.021013,0.000000,-0.014404,-0.021989,0.000000
0.152078,-0.253348,0.123100,0.000000,-0.047807,0.020836,0.000000,-0.014416,-0.022253,0.000000
0.160083,-0.253731,0.123266,0.000000,-0.047923,0.020657,0.000000,-0.014429,-0.022516,0.000000
0.168087,-0.254115,0.123431,0.000000,-0.048038,0.020476,0.000000,-0.014442,-0.022780,0.000000
0.176091,-0.254500,0.123594,0.000000,-0.048154,0.020292,0.000000,-0.014455,-0.023044,0.000000
0.184095,-0.254885,0.123755,0.000000,-0.048269,0.020107,0.000000,-0.014467,-0.023308,0.000000
0.192099,-0.255272,0.123915,0.000000,-0.048385,0.019920,0.000000,-0.014480,-0.023571,0.000000
0.200103,-0.255660,0.124074,0.000000,-0.048501,0.019730,0.000000,-0.014493,-0.023835,0.000000
0.208107,-0.256048,0.124231,0.000000,-0.048617,0.019538,0.000000,-0.014506,-0.024099,0.000000
0.216112,-0.256437,0.124387,0.000000,-0.048733,0.019344,0.000000,-0.014518,-0.024362,0.000000
0.224116,-0.256828,0.124540,0.000000,-0.048849,0.019148,0.000000,-0.014531,-0.024626,0.000000
0.232120,-0.257219,0.124693,0.000000,-0.048966,0.018950,0.000000,-0.014544,-0.024890,0.000000
0.240124,-0.257611,0.124844,0.000000,-0.049082,0.018750,0.000000,-0.014557,-0.025153,0.000000
0.248128,-0.258004,0.124993,0.000000,-0.049199,0.018548,0.000000,-0.014569,-0.025417,0.000000
0.256132,-0.258398,0.125140,0.000000,-0.049315,0.018343,0.000000,-0.014582,-0.025681,0.000000
0.264136,-0.258793,0.125286,0.000000,-0.049432,0.018137,0.000000,-0.014595,-0.025944,0.000000
0.272140,-0.259189,0.125431,0.000000,-0.049549,0.017928,0.000000,-0.014608,-0.026208,0.000000
0.280145,-0.259586,0.125573,0.000000,-0.049666,0.017718,0.000000,-0.014620,-0.026472,0.000000
0.288149,-0.259984,0.125714,0.000000,-0.049783,0.017505,0.000000,-0.014633,-0.026735,0.000000
0.296153,-0.260383,0.125853,0.000000,-0.049900,0.017290,0.000000,-0.014646,-0.026999,0.000000
0.304157,-0.260782,0.125991,0.000000,-0.050017,0.017073,0.000000,-0.014658,-0.027263,0.000000
0.312161,-0.261183,0.126126,0.000000,-0.050134,0.016854,0.000000,-0.014671,-0.027527,0.000000
0.320165,-0.261584,0.126260,0.000000,-0.050252,0.016632,0.000000,-0.014684,-0.027790,0.000000
0.328169,-0.261987,0.126393,0.000000,-0.050369,0.016409,0.000000,-0.014697,-0.028054,0.000000
0.336173,-0.262390,0.126523,0.000000,-0.050487,0.016184,0.000000,-0.014709,-0.028318,0.000000
0.344178,-0.262795,0.126652,0.000000,-0.050605,0.015956,0.000000,-0.014722,-0.028581,0.000000
0.352182,-0.263200,0.126778,0.000000,-0.050722,0.015726,0.000000,-0.014735,-0.028845,0.000000
0.360186,-0.263606,0.126903,0.000000,-0.050840,0.015494,0.000000,-0.014748,-0.029109,0.000000
0.368190,-0.264013,0.127026,0.000000,-0.050958,0.015260,0.000000,-0.014760,-0.029372,0.000000
0.376194,-0.264422,0.127147,0.000000,-0.051076,0.015024,0.000000,-0.014773,-0.029636,0.000000
0.384198,-0.264831,0.127267,0.000000,-0.051195,0.014786,0.000000,-0.014786,-0.029900,0.000000
0.392202,-0.265241,0.127384,0.000000,-0.051313,0.014546,0.000000,-0.014799,-0.030163,0.000000
0.400207,-0.265652,0.127499,0.000000,-0.051431,0.014304,0.000000,-0.014811,-0.030427,0.000000
0.408211,-0.266064,0.127613,0.000000,-0.051550,0.014059,0.000000,-0.014824,-0.030691,0.000000
0.416215,-0.266477,0.127724,0.000000,-0.051669,0.013813,0.000000,-0.014837,-0.030954,0.000000
0.424219,-0.266890,0.127834,0.000000,-0.051787,0.013564,0.000000,-0.014850,-0.031218,0.000000
0.432223,-0.267305,0.127941,0.000000,-0.051906,0.013313,0.000000,-0.014862,-0.031482,0.000000
0.440227,-0.267721,0.128047,0.000000,-0.052025,0.013060,0.000000,-0.014875,-0.031745,0.000000
0.448231,-0.268138,0.128150,0.000000,-0.052144,0.012805,0.000000,-0.014888,-0.032009,0.000000
0.456235,-0.268555,0.128252,0.000000,-0.052263,0.012548,0.000000,-0.014901,-0.032273,0.000000
0.464240,-0.268974,0.128351,0.000000,-0.052383,0.012289,0.000000,-0.014913,-0.032537,0.000000
0.472244,-0.269393,0.128448,0.000000,-0.052502,0.012028,0.000000,-0.014926,-0.032800,0.000000
0.480248,-0.269814,0.128543,0.000000,-0.052621,0.011764,0.000000,-0.014939,-0.033064,0.000000
0.488252,-0.270235,0.128637,0.000000,-0.052741,0.011498,0.000000,-0.014952,-0.033328,0.000000
0.496256,-0.270658,0.128727,0.000000,-0.052861,0.011231,0.000000,-0.014964,-0.033591,0.000000
0.504260,-0.271081,0.128816,0.000000,-0.052980,0.010961,0.000000,-0.014977,-0.033855,0.000000
0.512264,-0.271505,0.128903,0.000000,-0.053100,0.010689,0.000000,-0.014990,-0.034119,0.000000
0.520268,-0.271931,0.128987,0.000000,-0.053220,0.010415,0.000000,-0.015002,-0.034382,0.000000
0.528273,-0.272357,0.129069,0.000000,-0.053340,0.010139,0.000000,-0.015015,-0.034646,0.000000
0.536277,-0.272784,0.129149,0.000000,-0.053461,0.009861,0.000000,-0.015028,-0.034910,0.000000
0.544281,-0.273212,0.129227,0.000000,-0.053581,0.009580,0.000000,-0.015041,-0.035173,0.000000
0.552285,-0.273641,0.129303,0.000000,-0.053701,0.009298,0.000000,-0.015053,-0.035437,0.000000
0.560289,-0.274071,0.129376,0.000000,-0.053822,0.009013,0.000000,-0.015066,-0.035701,0.000000
0.568293,-0.274502,0.129447,0.000000,-0.053942,0.008727,0.000000,-0.015079,-0.035964,0.000000
0.576297,-0.274934,0.129516,0.000000,-0.054063,0.008438,0.000000,-0.015092,-0.036228,0.000000
0.584302,-0.275367,0.129582,0.000000,-0.054184,0.008147,0.000000,-0.015104,-0.036492,0.000000
0.592306,-0.275801,0.129646,0.000000,-0.054305,0.007854,0.000000,-0.015117,-0.036756,0.000000
0.600310,-0.276236,0.129708,0.000000,-0.054426,0.007559,0.000000,-0.015130,-0.037019,0.000000
0.608314,-0.276672,0.129767,0.000000,-0.054547,0.007262,0.000000,-0.015143,-0.037283,0.000000
0.616318,-0.277109,0.129824,0.000000,-0.054668,0.006963,0.000000,-0.015155,-0.037547,0.000000
0.624322,-0.277547,0.129878,0.000000,-0.054789,0.006661,0.000000,-0.015168,-0.037810,0.000000
0.632326,-0.277986,0.129930,0.000000,-0.054911,0.006358,0.000000,-0.015181,-0.038074,0.000000
0.640330,-0.278425,0.129980,0.000000,-0.055032,0.006052,0.000000,-0.015194,-0.038338,0.000000
0.648335,-0.278866,0.130027,0.000000,-0.055154,0.005744,0.000000,-0.015206,-0.038601,0.000000
0.656339,-0.279308,0.130072,0.000000,-0.055275,0.005434,0.000000,-0.015219,-0.038865,0.000000
0.664343,-0.279751,0.130114,0.000000,-0.055397,0.005122,0.000000,-0.015232,-0.039129,0.000000
0.672347,-0.280194,0.130154,0.000000,-0.055519,0.004808,0.000000,-0.015245,-0.039392,0.000000
0.680351,-0.280639,0.130191,0.000000,-0.055641,0.004492,0.000000,-0.015257,-0.039656,0.000000
0.688355,-0.281085,0.130226,0.000000,-0.055763,0.004174,0.000000,-0.015270,-0.039920,0.000000
0.696359,-0.281531,0.130258,0.000000,-0.055885,0.003853,0.000000,-0.015283,-0.040183,0.000000
0.704363,-0.281979,0.130287,0.000000,-0.056008,0.003531,0.000000,-0.015296,-0.040447,0.000000
0.712368,-0.282427,0.130314,0.000000,-0.056130,0.003206,0.000000,-0.015308,-0.040711,0.000000
0.720372,-0.282877,0.130339,0.000000,-0.056253,0.002879,0.000000,-0.015321,-0.040974,0.000000
0.728376,-0.283327,0.130360,0.000000,-0.056375,0.002551,0.000000,-0.015334,-0.041238,0.000000
0.736380,-0.283779,0.130380,0.000000,-0.056498,0.002220,0.000000,-0.015346,-0.041502,0.000000
0.744384,-0.284231,0.130396,0.000000,-0.056621,0.001887,0.000000,-0.015359,-0.041766,0.000000
0.752388,-0.284685,0.130410,0.000000,-0.056744,0.001551,0.000000,-0.015372,-0.042029,0.000000
0.760392,-0.285139,0.130421,0.000000,-0.056867,0.001214,0.000000,-0.015385,-0.042293,0.000000
0.768397,-0.285595,0.130429,0.000000,-0.056990,0.000875,0.000000,-0.015397,-0.042557,0.000000
0.776401,-0.286051,0.130435,0.000000,-0.057113,0.000533,0.000000,-0.015410,-0.042820,0.000000
0.784405,-0.286508,0.130438,0.000000,-0.057236,0.000190,0.000000,-0.015423,-0.043084,0.000000
0.792409,-0.286967,0.130438,0.000000,-0.057360,-0.000156,0.000000,-0.015436,-0.043348,0.000000
0.800413,-0.287426,0.130435,0.000000,-0.057483,-0.000504,0.000000,-0.015448,-0.043611,0.000000
0.808417,-0.287887,0.130430,0.000000,-0.057607,-0.000854,0.000000,-0.015461,-0.043875,0.000000
0.816421,-0.288348,0.130422,0.000000,-0.057731,-0.001206,0.000000,-0.015474,-0.044139,0.000000
0.824425,-0.288810,0.130410,0.000000,-0.057855,-0.001560,0.000000,-0.015487,-0.044402,0.000000
0.832430,-0.289274,0.130397,0.000000,-0.057979,-0.001916,0.000000,-0.015499,-0.044666,0.000000
0.840434,-0.289738,0.130380,0.000000,-0.058103,-0.002275,0.000000,-0.015512,-0.044930,0.000000
0.848438,-0.290203,0.130360,0.000000,-0.058227,-0.002635,0.000000,-0.015525,-0.045193,0.000000
0.856442,-0.290670,0.130338,0.000000,-0.058351,-0.002998,0.000000,-0.015538,-0.045457,0.000000
0.864446,-0.291137,0.130312,0.000000,-0.058475,-0.003363,0.000000,-0.015550,-0.045721,0.000000
0.872450,-0.291605,0.130284,0.000000,-0.058600,-0.003729,0.000000,-0.015563,-0.045985,0.000000
0.880454,-0.292074,0.130253,0.000000,-0.058724,-0.004098,0.000000,-0.015576,-0.046248,0.000000
0.888458,-0.292545,0.130218,0.000000,-0.058849,-0.004469,0.000000,-0.015589,-0.046512,0.000000
