t,x,y,z,vx,vy,vz,ax,ay,az
0.000000,0.500000,-0.060000,0.384600,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.100000
0.008000,0.500000,-0.060000,0.384597,0.000000,0.000000,-0.000800,0.000000,0.000000,-0.100000
0.016000,0.500000,-0.060000,0.384587,0.000000,0.000000,-0.001600,0.000000,0.000000,-0.100000
0.024000,0.500000,-0.060000,0.384571,0.000000,0.000000,-0.002400,0.000000,0.000000,-0.100000
0.032000,0.500000,-0.060000,0.384549,0.000000,0.000000,-0.003200,0.000000,0.000000,-0.100000
0.040000,0.500000,-0.060000,0.384520,0.000000,0.000000,-0.004000,0.000000,0.000000,-0.100000
0.048000,0.500000,-0.060000,0.384485,0.000000,0.000000,-0.004800,0.000000,0.000000,-0.100000
0.056000,0.500000,-0.060000,0.384443,0.000000,0.000000,-0.005600,0.000000,0.000000,-0.100000
0.064000,0.500000,-0.060000,0.384395,0.000000,0.000000,-0.006400,0.000000,0.000000,-0.100000
0.072000,0.500000,-0.060000,0.384341,0.000000,0.000000,-0.007200,0.000000,0.000000,-0.100000
0.080000,0.500000,-0.060000,0.384280,0.000000,0.000000,-0.008000,0.000000,0.000000,-0.100000
0.088000,0.500000,-0.060000,0.384213,0.000000,0.000000,-0.008800,0.000000,0.000000,-0.100000
0.096000,0.500000,-0.060000,0.384139,0.000000,0.000000,-0.009600,0.000000,0.000000,-0.100000
0.104000,0.500000,-0.060000,0.384059,0.000000,0.000000,-0.010400,0.000000,0.000000,-0.100000
0.112000,0.500000,-0.060000,0.383973,0.000000,0.000000,-0.011200,0.000000,0.000000,-0.100000
0.120000,0.500000,-0.060000,0.383880,0.000000,0.000000,-0.012000,0.000000,0.000000,-0.100000
0.128000,0.500000,-0.060000,0.383781,0.000000,0.000000,-0.012800,0.000000,0.000000,-0.100000
0.136000,0.500000,-0.060000,0.383675,0.000000,0.000000,-0.013600,0.000000,0.000000,-0.100000
0.144000,0.500000,-0.060000,0.383563,0.000000,0.000000,-0.014400,0.000000,0.000000,-0.100000
0.152000,0.500000,-0.060000,0.383445,0.000000,0.000000,-0.015200,0.000000,0.000000,-0.100000
0.160000,0.500000,-0.060000,0.383320,0.000000,0.000000,-0.016000,0.000000,0.000000,-0.100000
0.168000,0.500000,-0.060000,0.383189,0.000000,0.000000,-0.016800,0.000000,0.000000,-0.100000
0.176000,0.500000,-0.060000,0.383051,0.000000,0.000000,-0.017600,0.000000,0.000000,-0.100000
